,headline,date,year exp,score,pros,cons,company,position,raw_reviews,Introvert_Extrovert,Intuition_Sensing,Thinking_Feeling,Judging_Perceiving,Innovative_Traditional,Personality,reviews,emotions,Positive,Negative,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust,is_exclusive,is_open,exclusive_openness
34,Fast growing company,2022-05-19,Current Employee,5,"1 Company grows fast and management is bottom to top, you can really learn something from here
2 Salary is fair and benefits is good like other tier 1 companies
3 Immigration policy is friendly and you can always get your feedback handled fast
4 Work-life balance depends on team, my team is good, not sure about others","1 Heard that food is free, due to pandemic they don't have lunch and dinner in company now. 
2 Company has political policy risk, unsure about the future IPO",TikTok, Fullstack Developer,"1 Company grows fast and management is bottom to top, you can really learn something from here
2 Salary is fair and benefits is good like other tier 1 companies
3 Immigration policy is friendly and you can always get your feedback handled fast
4 Work-life balance depends on team, my team is good, not sure about others1 Heard that food is free, due to pandemic they don't have lunch and dinner in company now. 
2 Company has political policy risk, unsure about the future IPO",Extrovert,Sensing,Thinking,Judging,traditional,ESJT,1 company grows fast management bottom top really learn something 2 salary fair benefits good like tier 1 companies 3 immigration policy friendly always get feedback handled fast 4 worklife balance depends team team good sure others1 heard food free due pandemic lunch dinner company now 2 company political policy risk unsure future ipo,"{'Positive': 12, 'Negative': 2, 'Anger': 0, 'Anticipation': 6, 'Disgust': 0, 'Fear': 1, 'Joy': 7, 'Sadness': 1, 'Surprise': 2, 'Trust': 11}",12,2,0,6,0,1,7,1,2,11,1,24,Open
35,About the working life in TikTok,2022-05-25,"Current Employee, more than 1 year",3,"Upgoing business
Open mindset 
fast movement.","Poor work life balance
unclear career roadmap",TikTok, Product Manager,"Upgoing business
Open mindset 
fast movement.Poor work life balance
unclear career roadmap",Extrovert,Intuition,Feeling,Judging,traditional,ENJF,upgoing business open mindset fast movementpoor work life balance unclear career roadmap,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,1,0,0,0,0,0,0,0,1,Open
36,Its a great place to work,2022-05-17,"Current Employee, more than 1 year",3,Fast-moving business with lots of opportunities,No clear growth plans for employees,TikTok, Product Marketing Manager,Fast-moving business with lots of opportunitiesNo clear growth plans for employees,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,fastmoving business lots opportunitiesno clear growth plans employees,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,1,0,0,0,0,0,0,0,1,Open
37,,2022-05-01,"Current Employee, more than 1 year",4,"Diverse team, flatter org structure","Ambiguous processes, team dynamics and politics",TikTok, Senior Policy Manager,"Diverse team, flatter org structureAmbiguous processes, team dynamics and politics",Extrovert,Intuition,Thinking,Judging,traditional,ENJT,diverse team flatter org structureambiguous processes team dynamics politics,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 2}",0,0,0,0,0,0,0,0,0,2,0,2,Open
38,Learning opportunities,2022-05-13,Current Employee,3,Lots of learning and exposure,Poor work life balance and not transparent salary or development structure,TikTok, Monetization Strategy,Lots of learning and exposurePoor work life balance and not transparent salary or development structure,Extrovert,Intuition,Thinking,Judging,innovative,ENJT,lots learning exposurepoor work life balance transparent salary development structure,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",2,0,0,1,0,0,0,0,0,0,0,1,Open
39,Good company prospect but incompetent leaders,2022-05-09,"Current Employee, more than 1 year",2,company's remarkable growth is the biggest pro.,leaders I've worked with are mostly incompetent.,TikTok, Ads Quality Specialist,company's remarkable growth is the biggest pro.leaders I've worked with are mostly incompetent.,Extrovert,Intuition,Thinking,Judging,innovative,ENJT,companys remarkable growth biggest proleaders ive worked mostly incompetent,"{'Positive': 1, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",1,0,0,0,0,0,0,0,0,0,0,0,Open
40,Big scope and high growth,2022-04-23,Current Employee,4,Can touch a large scale system architecture and learn a lot with the business fast growth day by day.,Sometimes need to endure high pressure and high strength work.,TikTok, Anonymous Employee,Can touch a large scale system architecture and learn a lot with the business fast growth day by day.Sometimes need to endure high pressure and high strength work.,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,touch large scale system architecture learn lot business fast growth day daysometimes need endure high pressure high strength work,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 2}",3,0,0,0,0,0,0,0,0,2,0,2,Open
41,Working Experience at TikTok,2022-05-07,"Current Employee, more than 1 year",3,"Full empowerment to drive projects, Bonus is great!",Culture can be very demanding.,TikTok, Human Resources,"Full empowerment to drive projects, Bonus is great!Culture can be very demanding.",Introvert,Sensing,Feeling,Perceiving,innovative,ISPF,full empowerment drive projects bonus greatculture demanding,"{'Positive': 3, 'Negative': 1, 'Anger': 1, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 0}",3,1,1,1,0,0,1,0,1,0,1,2,Open
42,Massively growing and mixed experience,2022-05-06,"Current Employee, more than 5 years",3,"Smart colleagues
Good package
Food and flexible benefits","Can be messy, target not clear for some departments
work life balance might be an issue",TikTok, Product Manager,"Smart colleagues
Good package
Food and flexible benefitsCan be messy, target not clear for some departments
work life balance might be an issue",Extrovert,Intuition,Thinking,Perceiving,traditional,ENPT,smart colleagues good package food flexible benefitscan messy target clear departments work life balance might issue,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 2, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 1, 'Surprise': 1, 'Trust': 2}",2,0,0,2,0,0,2,1,1,2,0,6,Open
43,Great place to work,2022-04-21,"Current Employee, less than 1 year",5,Good benefits and welfare overall,A lot of self-learning depending on department,TikTok, Operations Specialist,Good benefits and welfare overallA lot of self-learning depending on department,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,good benefits welfare overalla lot selflearning depending department,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 1, 'Surprise': 1, 'Trust': 2}",2,0,0,3,0,0,1,1,1,2,0,6,Open
44,Life at TT,2022-05-03,Current Employee,3,Good benefits and competitive renumeration package,No work life balance.. ambiguity,TikTok, Employee,Good benefits and competitive renumeration packageNo work life balance.. ambiguity,Introvert,Sensing,Thinking,Perceiving,traditional,ISPT,good benefits competitive renumeration packageno work life balance ambiguity,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 1, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,1,0,0,1,0,1,1,0,3,Open
45,Great so far,2022-04-16,"Current Employee, less than 1 year",4,"no 996 culture, fast paced, lot of opportunity, overall positive experience",fast paced and ambiguous if you dont like it,TikTok, Anonymous Employee,"no 996 culture, fast paced, lot of opportunity, overall positive experiencefast paced and ambiguous if you dont like it",Introvert,Intuition,Thinking,Judging,innovative,INJT,996 culture fast paced lot opportunity overall positive experiencefast paced ambiguous dont like,"{'Positive': 0, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,0,0,0,0,0,0,0,0,0,0,0,Open
46,Good prospect but incompetent seniors,2022-04-25,"Current Employee, more than 1 year",2,the company's growth prospect is the biggest advantage.,the seniors in general are incompetent.,TikTok, Quality Assurance Analyst,the company's growth prospect is the biggest advantage.the seniors in general are incompetent.,Introvert,Intuition,Thinking,Judging,innovative,INJT,companys growth prospect biggest advantagethe seniors general incompetent,"{'Positive': 3, 'Negative': 0, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 1}",3,0,0,0,0,0,0,0,0,1,0,1,Open
47,Awesome colleagues,2022-04-11,"Current Employee, less than 1 year",5,decent benefits for low-low mid tier employees,"constant self learning, upgrading and constant changes to system, not exactly bad depending on individual im all good!",TikTok, Content Moderator,"decent benefits for low-low mid tier employeesconstant self learning, upgrading and constant changes to system, not exactly bad depending on individual im all good!",Introvert,Sensing,Thinking,Judging,innovative,ISJT,decent benefits lowlow mid tier employeesconstant self learning upgrading constant changes system exactly bad depending individual im good,"{'Positive': 5, 'Negative': 1, 'Anger': 1, 'Anticipation': 2, 'Disgust': 1, 'Fear': 1, 'Joy': 1, 'Sadness': 1, 'Surprise': 1, 'Trust': 4}",5,1,1,2,1,1,1,1,1,4,3,7,Open
48,Chinese tech company,2022-04-22,"Current Employee, more than 1 year",3,"good career progression opportunity, growth potential","work life balance, late night meetings",TikTok, Anonymous Employee,"good career progression opportunity, growth potentialwork life balance, late night meetings",Introvert,Intuition,Feeling,Judging,traditional,INJF,good career progression opportunity growth potentialwork life balance late night meetings,"{'Positive': 4, 'Negative': 1, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 1, 'Surprise': 1, 'Trust': 1}",4,1,0,3,0,0,2,1,1,1,0,6,Open
49,Quite busy but acceptable,2022-04-06,"Current Employee, more than 3 years",4,relatively high salary and benefits,It quite busy working here.,TikTok, Senior Software Engineer,relatively high salary and benefitsIt quite busy working here.,Extrovert,Intuition,Thinking,Judging,traditional,ENJT,relatively high salary benefitsit quite busy working here,"{'Positive': 0, 'Negative': 1, 'Anger': 0, 'Anticipation': 0, 'Disgust': 0, 'Fear': 0, 'Joy': 0, 'Sadness': 0, 'Surprise': 0, 'Trust': 0}",0,1,0,0,0,0,0,0,0,0,0,0,Open
50,Do not join the rocket ship!,2022-03-31,"Current Employee, less than 1 year",2,There are some really intelligent and cool people. There is some really interesting work to do and things to learn and the app is really cool.,"Zero care for you as a human. Calls all hours of the day you're expected to join 12pm one night, 8am the next morning, no one cares about your boundaries. No transparency between HR and employees on bonus cycle. Little to no recognition for contributions, very hierarchal so managers just take your work and present it for you and you maybe get a cryptic note back about what's wrong.",TikTok, Anonymous Employee,"There are some really intelligent and cool people. There is some really interesting work to do and things to learn and the app is really cool.Zero care for you as a human. Calls all hours of the day you're expected to join 12pm one night, 8am the next morning, no one cares about your boundaries. No transparency between HR and employees on bonus cycle. Little to no recognition for contributions, very hierarchal so managers just take your work and present it for you and you maybe get a cryptic note back about what's wrong.",Introvert,Intuition,Thinking,Judging,traditional,INJT,really intelligent cool people really interesting work things learn app really coolzero care human calls hours day expected join 12pm one night 8am next morning one cares boundaries transparency hr employees bonus cycle little recognition contributions hierarchal managers take work present maybe get cryptic note back whats wrong,"{'Positive': 7, 'Negative': 1, 'Anger': 0, 'Anticipation': 4, 'Disgust': 0, 'Fear': 0, 'Joy': 2, 'Sadness': 0, 'Surprise': 3, 'Trust': 2}",7,1,0,4,0,0,2,0,3,2,0,8,Open
51,Good working environment,2022-04-05,"Current Employee, more than 1 year",4,Positive working environment. Good benefits.,Global time zone makes working across time zones necessary.,TikTok, Anonymous Employee,Positive working environment. Good benefits.Global time zone makes working across time zones necessary.,Introvert,Intuition,Thinking,Judging,traditional,INJT,positive working environment good benefitsglobal time zone makes working across time zones necessary,"{'Positive': 2, 'Negative': 0, 'Anger': 0, 'Anticipation': 3, 'Disgust': 0, 'Fear': 0, 'Joy': 1, 'Sadness': 0, 'Surprise': 1, 'Trust': 1}",2,0,0,3,0,0,1,0,1,1,0,5,Open
