,date,year exp,score,pros,cons,position
162,2022-07-18,"Current Employee, less than 1 year",5.0,"creativity is overflowing here, the teams are also very responsive and nurturing. Thank you for creating such an awesome working environment.",I haven't got anything for this one.,Account Manager
163,2022-07-18,"Current Employee, more than 3 years",5.0,"the best company ever , so much benefit.",only will have changes like time to time,Content Moderator
164,2022-07-18,"Former Employee, more than 1 year",5.0,"Good work culture., No hierarchy verticals., Lots of freebies",Nothing much. Hr is good. Managers need to improve.,Subject Matter Expert (SME)
165,2022-07-30,"Current Employee, more than 3 years",3.0,"•	You get great extra added perks over here like a snacks card, one time meal and other fun activates for employee engagement., •	Great teamwork and leadership can be seen from the upper management apart from the T&S india GGN site team., •	Nice office building with a good location for easy transportation","•	It was one of the best companies to work before the advent of few managers from Indian GGN T&S site., •	Lots of nepotism and only a few set of people are given upper hand by the Indian management here in GGN site. , •	Immense work pressure and micromanagement are being forcefully implemented by the trust and safety department of Indian management in Gurgaon site., •	Tedious work and no learning path for gaining new skills., •	No set proper grading system to evaluate the employee performance and Indian management keeps on changing the parameters every now and then., •	Bytedance culture and values are just mentioned on the paper to be read out in any meets.",Quality Analyst
166,2022-07-31,Current Employee,3.0,Lots of opportunities and bigger scope.,Bad work-life balance and bad for non-Chinese speakers.,Anonymous Employee
167,2022-08-01,"Current Employee, more than 1 year",3.0,High wage among other companies in the same city. TikTok is rising at a fast pace.,"Bad work-life-balance, need to stay til 21:00",Frontend Engineer
168,2022-07-16,"Current Employee, more than 1 year",5.0,- Above average pay - Diversity & Inclusion -Freebies during festivals & anniversaries - Lucrative Bi-annual performance bonus - Friendly & Supportive management -Fast-track career progression,"- When it comes to job scope, content moderation can be really boring as the job requires you to review up to a thousand videos a day, , - Policy keeps changing thus it can get very frustrating",Content Moderator
169,2022-07-30,Current Employee,3.0,Fast growth and many chances,lack of head-top design and frequently working over time,Product Manager
170,2022-07-15,"Current Employee, more than 3 years",5.0,It helps me to grow in carrer,Shifts are ohk but morning shifts timings are not good that much,Customer Care Executive
171,2022-07-13,"Former Employee, more than 1 year",5.0,"1. Perks, 2. Gift , 3. Tume flexibility","I have found only two flaws, 1.Management, 2.initial salary.",Quality Analyst
172,2022-07-27,Former Employee,3.0,"big company, good co-works, free meals.","too tired, bureaucrat, can not improve.",Software Engineer
173,2022-07-27,"Former Employee, more than 1 year",3.0,high salary and smart colleagues,"abusing managers, feel like feudal society.",Software Engineer
174,2022-07-11,Current Employee,5.0,Manager is nice and care about the my career development,Sometimes the manager is so mean,HR Specialist
175,2022-07-25,"Current Employee, more than 1 year",4.0,"Big organization, a lot of supporting functions/departments",lack of experience in gaming industry,Partnerships Manager
176,2022-07-25,"Current Employee, more than 1 year",2.0,Good compensation and branding for your Resume,No work life balance; expects to be on call even late at night; most of the documents are in mandarin,Operations Manager
177,2022-07-24,"Former Employee, more than 1 year",3.0,"high salary, good technology, good benefit","overtime, push, high pressure, tired",Software Engineer
178,2022-07-24,"Current Employee, more than 1 year",3.0,"- good package and warefare, - high quality of colleagues","- immersive pressure, - super high turnover",Senior Finance Analyst
179,2022-08-14,"Current Employee, more than 3 years",1.0,"Good pay, bi yearly bonus if your lucky","No promotions, if your manager favors you then you will get your raise if not tough luck nothing is based on the quality of work produced. NO WORK LIFE BALANCE, no growth",Human Resources Manager
180,2022-07-23,"Former Employee, less than 1 year",3.0,"Good growth chance, good salary","No work-life balance, Company culture is not attractive, No employ training",Anonymous Employee
181,2022-07-22,"Former Employee, less than 1 year",4.0,Best talent to work with,Poor work and life balance,Anonymous Employee
182,2022-07-23,"Former Employee, less than 1 year",4.0,The package is pretty well,sometimes we cannot work life balance,Anonymous Employee
183,2022-07-06,"Current Employee, less than 1 year",5.0,Great place great learning experience,Job cuts due to ban,Customer Success Executive
184,2022-07-20,"Current Employee, more than 3 years",3.0,Fast growth and decent salary,No WLB and have strict KOR,Operations Manager
185,2022-07-20,Current Employee,3.0,"Psychological counseling service., Three meals for free.",everyone needs to work too fast,Product Operations Manager
186,2022-07-05,"Current Employee, less than 1 year",5.0,"Friendly management. , Work life Balance",None right now. There are not any.,Quality Analyst
187,2022-07-19,Current Employee,3.0,"A lot of freedom, very excellent colleagues","no work-life balance, not pay very well",Frontend Developer
188,2022-07-04,"Current Employee, more than 1 year",5.0,Perfomance bonus once achieve kpi target,Work in shift for content moderatir,Content Moderator
189,2022-07-03,Current Employee,5.0,good working environment no class,"nothing is bad tb,  haha",Anonymous Employee
190,2022-07-03,"Current Employee, more than 1 year",5.0,love the culture and the company value,so far so good since the day one i work here,Trust and Safety
191,2022-07-04,Current Employee,5.0,like the culture very much,have not found any yet,Android Engineer
192,2022-07-18,"Current Employee, more than 1 year",4.0,- nice career path if you want to develop,- better position doesn't always come with better salary,Content & Quality Specialist
193,2022-07-17,Current Employee,3.0,"salary fine, free food, free snack","pressure, not easy to promote",Android Developer
194,2022-07-18,Former Employee,3.0,"- Data-driven. The new product features came from data analytics. The product features experimented with A/B tests.  Features were released to all of the users as long as they increased some of the critical product artifacts(e.g. user visit, user retention)., - Good infrastructures. There were many infrastructures that improved the efficiency, such as A/B test, settings, a rich amount of 2nd-party components, and dev-ops., - Good documentation. I didn't love documenting until I entered this company. You could easily find answers to problems by simply searching the documents. The Lark Document was a great product., - Talent and hard-working coworkers. Most of the coworkers were friendly, talented, and hard-working, even the graduates. You always got motivated working with them.","- Heavy workload. The working hours were mostly from 10:30 A.M. to 10:30 P.M. I always left the office at 10:30 P.M. because so many tasks to finish every day. The company offered 3 meals, so you didn't have to leave the office., - Lack of manpower all the time. I often felt overwhelmed but didn't have coworkers to delegate some tasks. In hiring new employees, HR didn't help much, we were on our own., - Hard to finish work at the office. Distractions by meetings, instant chats, and coworkers all the time. I sometimes got started work after everyone left the office at night.",Senior IOS Developer
